y/delta,y^+,u'u',v'v',w'w',u'v',u'w',v'w',k,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.0,0.0,4.176503139302004e-36,0.0,-4.685006664461505e-10,0.0,-6.9647401635430496e-40,0.0,-2.3425033322307525e-10,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
1.371071353273301e-05,0.07110235019829264,0.001005729630036473,4.711428583307734e-09,0.0004434640182224768,-3.980482056045502e-07,-8.647142289694951e-08,6.027251848120076e-11,0.0007245991798437662,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
4.169953934984871e-05,0.2162495221624994,0.009271134506947366,3.846287241004186e-07,0.003959368754374734,-1.13718246691514e-05,-8.119894627154512e-07,1.722110955671311e-09,0.0066154439450231,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
8.453381948780869e-05,0.4383836933411095,0.03792463528677893,6.04829231846731e-06,0.01542632970008592,-9.679784760567144e-05,-3.408324203057311e-06,1.466384983529192e-08,0.02667850663959166,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0001427808370142447,0.740446735376326,0.1075991555237776,4.471795879474329e-05,0.04099239747611752,-0.000478145725453312,-9.973360601192436e-06,7.246230200962354e-08,0.07431813547934493,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0002170078137750941,1.125380202420942,0.2469056764728029,0.0002115274855986984,0.08669774386414202,-0.001718677337371014,-2.365298783456456e-05,2.605719407305371e-07,0.1669074739112718,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0003077819081407362,1.596125319450033,0.4920761127102227,0.0007408701319817946,0.1570620498637934,-0.004981768284725916,-4.865495282468065e-05,7.5542027784359e-07,0.3249395163529989,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0004156702127537937,2.155622970581291,0.883968313463455,0.002085514823428185,0.2540232003608626,-0.01227870555596587,-8.978143645795672e-05,1.860546199885885e-06,0.5700385143238729,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0005275290387434239,2.735711337193032,1.391516383504098,0.004574179300730613,0.3628868345096443,-0.02463060294009045,-0.0001438436521909353,3.725004435692765e-06,0.8794886986572366,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0006433579417870483,3.336388115074059,2.002918592492006,0.00855475882181192,0.4790678189993579,-0.04302616760017188,-0.0002090492999646163,6.487550667019493e-06,1.245270585156588,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0007631564617923692,3.95765091823304,2.697083123343675,0.01432665449763796,0.5990438772118853,-0.0679567317407124,-0.0002823447028575982,1.020744451286445e-05,1.655226827526599,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0008869241228990354,4.599497278907139,3.445994837431021,0.02212984198125212,0.7202357171717447,-0.099357648422942,-0.0003599078941718331,1.486036832980654e-05,2.094180198292009,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001014660433480419,5.261924647571224,4.218370752185365,0.03214303054052793,0.8408398207670033,-0.1366517079500359,-0.0004377430820831949,2.034902719608629e-05,2.545676801746448,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001146364886145945,5.944930392949966,4.983497331857055,0.0444868998750257,0.9596438236773368,-0.178864316760865,-0.0005121960072443302,2.652139418158893e-05,2.993814027704709,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001282036957742871,6.648511802027046,5.714370530246509,0.05922935787049043,1.07585161947444,-0.2247728164384186,-0.0005802848245074441,3.319897992679885e-05,3.42472575379572,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001421676109358172,7.372666080054942,6.389683782639549,0.0763908980380254,1.188936426284674,-0.2730568406437616,-0.0006398366457009617,4.019048804757281e-05,3.827505553481124,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001565281786321093,8.117390350568176,6.994613934909116,0.09594917818573644,1.298530389382188,-0.3224268187495392,-0.0006894848813328776,4.730651602090066e-05,4.19454675123852,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001712853418205151,8.882681655393672,7.520625289776707,0.1178427239763971,1.404351135123613,-0.3717187995118702,-0.0007285934580542478,5.438953028680476e-05,4.521409574438359,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001864390418830353,9.668536954662272,7.964627136814526,0.141974114455463,1.506160116131893,-0.4199529334143858,-0.0007571221308277802,6.130008783913752e-05,4.806380683700941,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002019892186265637,10.47495312682141,8.327816005286795,0.1682131521113594,1.603744816944503,-0.4663592637429678,-0.0007754701899962658,6.79303926048226e-05,5.049886987171329,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002179358102831097,11.30192696864662,8.614462979202218,0.1964004428192719,1.696916327036239,-0.5103777808489457,-0.000784290781887812,7.422020645027458e-05,5.253889874528864,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002342787535100643,12.14945519525534,8.830814306843106,0.2263516148627094,1.785514788822818,-0.5516408225715267,-0.0007843342616703512,8.012414956193438e-05,5.421340355264316,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002510179833904336,13.01753444011904,8.984189789328289,0.2578621850813868,1.869417270479614,-0.5899453502913321,-0.0007763777102943748,8.562272466603456e-05,5.555734622444644,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002681534334331159,13.90616125507758,9.082301283462773,0.2907129054278092,1.948544564885448,-0.6252211466289805,-0.0007611843144791854,9.072079362087031e-05,5.660779376888015,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002856850355731466,14.81533211035189,9.132775233646273,0.3246753184000326,2.022865172824118,-0.6574993405760085,-0.0007394889335682158,9.54276673201118e-05,5.74015786243521,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003036127201719752,15.74504339455838,9.142844546126591,0.3595172228917295,2.092396041092478,-0.6868839308526583,-0.0007119581038514098,9.976045766936511e-05,5.797378905055401,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003219364160177429,16.69529141472329,9.119170108542551,0.3950077778268206,2.157200299156267,-0.7135276777751021,-0.000679179602581189,0.0001037535886532695,5.835689092762821,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003406560503255829,17.66607239629828,9.067755239516542,0.4309220311249165,2.217382702471645,-0.7376127523239844,-0.0006416955174674088,0.0001074372792132888,5.858029986556551,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003597715487378639,18.65738248317309,8.99392278716396,0.4670447386844278,2.273083574700332,-0.7593358752807456,-0.0006000256113807849,0.0001108477821057699,5.867025550274359,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003792828353245237,19.66921773769277,8.902331760668092,0.5031734139247044,2.324471995541199,-0.7788974545517627,-0.0005546776158802032,0.0001140149484569926,5.864988585066998,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003991898325833909,20.70157414067443,8.797017111384019,0.5391206080647862,2.371738889424008,-0.7964939669539116,-0.0005061412384101869,0.0001169484937925518,5.853938304436406,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.004194924614404183,21.75444759141932,8.68144166629473,0.5747154657437948,2.415090451614629,-0.8123129324150681,-0.0004549092782568422,0.0001196575762995808,5.835623791826576,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.004401906412500711,22.82783390773295,8.558552919895625,0.6098046271124529,2.454742181932016,-0.8265298904855862,-0.0004014879818223586,0.0001221388997348855,5.811549864470047,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.004612842897956049,23.9217288259395,8.43083999089512,0.6442525627571307,2.490913644653254,-0.8393068115701771,-0.0003463825801232821,0.0001243965405738425,5.783003099152753,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.004827733232894094,25.0361280008997,8.300388045770466,0.6779414392767986,2.523823945789483,-0.8507915664417162,-0.0002901030398326119,0.0001264459422694173,5.751076715418375,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.005046576563733418,26.17102700602804,8.168928776475868,0.7107706163724941,2.553687959520301,-0.8611180880568381,-0.0002331664597098643,0.0001283029028628216,5.716693676184331,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.005269372021190488,27.32642133330954,8.037886474736958,0.7426558686505633,2.580713371113931,-0.8704069837767786,-0.000176004098630775,0.0001299790232357772,5.680627857250727,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
