PC1,PC2,PC3,k,dU/dy,P
4.071339487375149,1.1781284841823212,1.583580761096229,5.388762578694872,0.0736996596487839,-0.9590599179262564
4.079385583456338,1.1313307303641482,1.5302173982908671,5.355880850412405,0.0697730455441861,-0.9808402465331686
4.085995975111187,1.0867636228304125,1.4791051980771037,5.324218433123807,0.0661938047426927,-1.00149211297563
4.09127881005223,1.044297406771762,1.4302396152421937,5.293808996565183,0.0629265656250791,-1.02103863642958
4.095330357796534,1.0038099629933992,1.3835966190319242,5.26466603641912,0.0599396252744916,-1.03950687238378
4.098236944870583,0.9651862285314746,1.339136579886802,5.236786733991963,0.0572046022527562,-1.056927109982107
4.100076586477553,0.9283176837993665,1.296807636481439,5.210155263542733,0.0546960884309423,-1.073332192393895
4.100920396863041,0.8931018736703702,1.2565484172182908,5.184745644471253,0.0523913046916763,-1.088756940035391
4.100833655565096,0.8594419894326831,1.218290049105497,5.160524021991857,0.050269808193116,-1.103237706671029
4.099876453190184,0.8272465428223205,1.181957761983359,5.137450412819171,0.0483132715849421,-1.116812045116088
4.09810448003604,0.796429035812408,1.1474727485827434,5.115480495143228,0.0465052739989513,-1.129518415972992
4.095570012750777,0.7669076281950091,1.1147541264423062,5.094567337003299,0.0448311022428685,-1.141395857274591
4.092322479068166,0.7386049078768407,1.083720313314879,5.074662520573436,0.0432775828044382,-1.152483660853679
4.088408604451378,0.7114477346786366,1.0542897556211586,5.055716840144084,0.0418329177127582,-1.162821081766803
4.0838725555520865,0.6853670777021889,1.0263815780524022,5.037680890161369,0.0404865514555582,-1.172447012114165
4.078756192144605,0.6602978139470544,0.9999162786213606,5.020505611028002,0.0392290619382064,-1.181399682452695
4.073099309924249,0.6361785083096715,0.9748162477080393,5.004142782476452,0.038052030006546,-1.189716455087683
4.066939883722211,0.6129511980471204,0.9510061686170465,4.98854542738449,0.0369479288888732,-1.197433657315672
4.060314017098399,0.5905612424843912,0.9284132228668481,4.973667968232499,0.0359100546469329,-1.204586475374322
4.053255799121946,0.5689571913609747,0.9069671045981078,4.959466313927388,0.0349324246391753,-1.211208807453811
