y/delta,y^+,U,dU/dy,W,P,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau,u'p',v'p',w'p',u'u',v'v',w'w',u'v',u'w',v'w',k
0.0,0.0,0.0,1.0,0.0,0.0,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,5.516143523730728e-17,0.0,3.6289633570180104e-19,4.176503139302004e-36,0.0,-4.685006664461505e-10,0.0,-6.964740163543049e-40,0.0,-2.3425033322307525e-10
1.371071353273301e-05,0.0711023501982926,0.071101855656547,0.9999858899371266,-1.120892048566094e-05,-4.717271551396461e-09,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.0108362398035246,-6.78285591446637e-05,2.394258909662166e-05,0.0010057296300364,4.711428583307734e-09,0.0004434640182224,-3.980482056045502e-07,-8.647142289694951e-08,6.027251848120076e-11,0.0007245991798437
4.169953934984871e-05,0.2162495221624994,0.2162444005069231,0.9999469147763482,-3.409120844921682e-05,-3.851045470507787e-07,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.0327966637839883,-0.0006026616889032,7.283456590232461e-05,0.0092711345069473,3.846287241004186e-07,0.0039593687543747,-1.13718246691514e-05,-8.119894627154512e-07,1.722110955671311e-09,0.0066154439450231
8.453381948780869e-05,0.4383836933411095,0.4383546313113363,0.9998185653292307,-6.91104941449223e-05,-6.05574272325033e-06,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.0656725625172395,-0.0023296758219195,0.0001477124340408,0.0379246352867789,6.04829231846731e-06,0.0154263297000859,-9.679784760567144e-05,-3.408324203057311e-06,1.466384983529192e-08,0.0266785066395916
0.0001427808370142,0.740446735376326,0.7403063177345499,0.9993785912833544,-0.0001167228118251,-4.477271293683394e-05,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.1082096419870689,-0.0061214401393969,0.0002496946433512,0.1075991555237776,4.471795879474329e-05,0.0409923974761175,-0.0004781457254533,-9.973360601192436e-06,7.246230200962355e-08,0.0743181354793449
0.000217007813775,1.125380202420942,1.124780601314649,0.998062614991192,-0.0001773545210429,-0.0002117845420306,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.1576125115053092,-0.0127576769885988,0.0003800244883731,0.2469056764728029,0.0002115274855986,0.086697743864142,-0.001718677337371,-2.365298783456456e-05,2.605719407305371e-07,0.1669074739112718
0.0003077819081407,1.596125319450033,1.593912181611315,0.9947055589386128,-0.000251347221309,-0.0007417624650345,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.2094291205077269,-0.0227033341155419,0.0005400556382514,0.4920761127102227,0.0007408701319817,0.1570620498637934,-0.0049817682847259,-4.865495282468065e-05,7.5542027784359e-07,0.3249395163529989
0.0004156702127537,2.155622970581291,2.148568636179321,0.9872936380317612,-0.0003388468831528,-0.0020880009817424,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.2580465246739688,-0.0359835130112714,0.0007310501017923,0.883968313463455,0.0020855148234281,0.2540232003608626,-0.0122787055559658,-8.978143645795672e-05,1.860546199885885e-06,0.5700385143238729
0.0005275290387434,2.735711337193032,2.717918867902522,0.9748179109346056,-0.0004286940414824,-0.0045795756111991,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.2942914301671873,-0.0504144620953079,0.0009292724581116,1.391516383504098,0.0045741793007306,0.3628868345096443,-0.0246306029400904,-0.0001438436521909,3.725004435692765e-06,0.8794886986572366
0.000643357941787,3.336388115074059,3.298192924991181,0.9562887308572536,-0.000520315464249,-0.0085647452930013,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.3186508837123821,-0.0653383410730967,0.001133235913965,2.002918592492006,0.0085547588218119,0.4790678189993579,-0.0430261676001718,-0.0002090492999646,6.487550667019493e-06,1.245270585156588
0.0007631564617923,3.95765091823304,3.884810062158415,0.9312143085821216,-0.0006130228507725,-0.0143432040763038,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.332669372439343,-0.0802807731889558,0.001340530621232,2.697083123343675,0.0143266544976379,0.5990438772118853,-0.0679567317407124,-0.0002823447028575,1.020744451286445e-05,1.655226827526599
0.000886924122899,4.599497278907139,4.472661471036921,0.8996593658158216,-0.0007060581921785,-0.0221551432485742,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.3386163323034075,-0.0948999386008235,0.0015480678308048,3.445994837431021,0.0221298419812521,0.7202357171717447,-0.099357648422942,-0.0003599078941718,1.486036832980654e-05,2.094180198292009
0.0010146604334804,5.261924647571224,5.056451911678452,0.8622016752149116,-0.0007986449067295,-0.0321794136214287,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.3391388963817372,-0.1089418422032141,0.0017526095870815,4.218370752185365,0.0321430305405279,0.8408398207670033,-0.1366517079500359,-0.0004377430820831,2.034902719608629e-05,2.545676801746448
