y/delta,y^+,U,dU/dy,W,P,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau,u'u',v'v',w'w',u'v',u'w',v'w',k,u'p',v'p',w'p'
0.0,0.0,0.0,1.0,0.0,0.0,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,0.0,0.0,1.4250681502273108e-35,0.0,8.830598195587062e-40,0.0,7.125340751136554e-36,3.1683161630316183e-20,0.0,-7.869372831097262e-22
4.814781378392752e-05,0.0044735355153683,0.004473535515307,0.9999999999186288,1.548034454535846e-07,-6.8400382090237e-14,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,3.452611444956582e-06,6.8400382090237e-14,1.528712259208198e-06,-9.9532744066884e-11,6.245784293237837e-10,-1.2720383699233191e-14,2.490661886282581e-06,0.0005994740468436,-2.433399726071673e-07,-6.192199875771263e-08
0.000240706613952,0.0223646621034731,0.0223646620354589,0.9999999877392162,7.739129113089946e-07,-4.2495681558089825e-11,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,8.625131728007466e-05,4.2495681558089825e-11,3.803384950528658e-05,-1.245808098267655e-08,1.562230655793198e-08,-1.597232231372543e-12,6.214260464052141e-05,0.0029962923188184,-6.051973466141986e-06,-3.099014783445408e-07
0.0006738422300787,0.0626083909342192,0.0626083866737062,0.9999997268867222,2.166518247069098e-06,-2.578128814918883e-09,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,0.0006752324205353,2.578128814918883e-09,0.0002950253711321,-2.743622344003175e-07,1.22642665303487e-07,-3.541362789199937e-11,0.0004851301848981,0.0083816743558168,-4.690567017165168e-05,-8.692155252169411e-07
0.0014435583262699,0.1341246659724782,0.1341245753607599,0.9999972887729,4.641283932043253e-06,-5.312797160057505e-08,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,0.0030933598733378,5.312797160057505e-08,0.0013295684007134,-2.715371143575455e-06,5.645820822541699e-07,-3.541642113154068e-10,0.0022114907010114,0.017919486059322,-0.0002110716329704,-1.866441451800336e-06
0.0026456316880318,0.2458123513168804,0.2458113194396926,0.9999831303772672,8.506078020542344e-06,-5.792636514843281e-07,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,0.0103630328862263,5.792636514843281e-07,0.0043413261853111,-1.688225416984767e-05,1.905147009235759e-06,-2.229161927038877e-09,0.0073524691675944,0.0326890854584089,-0.0006875343334651,-3.429292637011807e-06
0.0043755476620711,0.4065432327479079,0.4065354231473301,0.9999226294586532,1.406734778928587e-05,-4.12679844428063e-06,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,0.0282493768291844,4.12679844428063e-06,0.011405700450649,-7.74055884228931e-05,5.243529017038573e-06,-1.032508696935821e-08,0.0198296020391388,0.0535607494921228,-0.0017996925825642,-5.688915624248208e-06
0.0067284357925451,0.6251560375286207,0.6251117517394423,0.9997139525587913,2.162806979539397e-05,-2.159725716771177e-05,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,0.0665223177764426,2.159725716771177e-05,0.0255495102586331,-0.0002861301381201,1.249127136133694e-05,-3.8268753150725656e-08,0.0460467126461217,0.0809668193815526,-0.0040101402139022,-8.781103199300237e-06
0.0097508578833638,0.9059769409737694,0.9057785083829588,0.9991137219954868,3.132703382142604e-05,-8.757240684524359e-05,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,0.1390310153354294,8.757240684524359e-05,0.0501104885797821,-0.0008864507191874,2.643500144039724e-05,-1.173678324200017e-07,0.0946145381610283,0.1140591253182578,-0.0078096634680647,-1.277635256185459e-05
0.0134407766123032,1.248816650307437,1.248089077742576,0.9976410932692464,4.312622321390846e-05,-0.0002856771169767,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,0.2626122228076375,0.0002856771169767,0.0877168440784904,-0.0023592354246918,5.053185569055973e-05,-3.043887965444988e-07,0.1753073720015524,0.1506409849326845,-0.0135519943027955,-1.766838264413833e-05
0.0177957047180855,1.653444067774858,1.651179349783247,0.9944662704943636,5.694405476776582e-05,-0.000780494540509,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,0.4567041871396125,0.000780494540509,0.1398641706686197,-0.0055343076052353,8.874214312222033e-05,-6.850721692884256e-07,0.2986744261743706,0.1878624957768188,-0.0213943504451629,-2.343883719305198e-05
0.0228127066769661,2.119586446418365,2.113425823857622,0.988330568490262,7.262583997411915e-05,-0.0018459127183442,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,0.7415457472861074,0.0018459127183442,0.2065979160339582,-0.0116703825516501,0.0001449771292507,-1.369496400264711e-06,0.4749947880192049,0.2225554569315365,-0.0312674509497408,-3.009026710956094e-05
0.0284884006814799,2.646929573927749,2.631966370914787,0.9775643549881043,8.991054415038638e-05,-0.003878280844506,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,1.134727861231483,0.003878280844506,0.2865177966815579,-0.0224371236273738,0.0002221943051248,-2.48230754972321e-06,0.7125619693787733,0.2517393108680803,-0.0429002037867683,-3.771687623573455e-05
0.0348189609200146,3.235117984441154,3.202151086281827,0.960268329984122,0.0001083976179822,-0.007386563041896,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,1.646074650849058,0.007386563041896,0.3770950110270055,-0.0397338594151669,0.0003213539536938,-4.156467517606106e-06,1.01527811245898,0.273190053402784,-0.0558816590862862,-4.657906868620899e-05
0.0418001201556731,3.883755198153751,3.81707551694901,0.9346701947551362,0.0001275137213519,-0.012959399503392,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,2.27210043937033,0.012959399503392,0.4752105208559116,-0.0653329067315828,0.000440652029365,-6.531858974067411e-06,1.380135179864817,0.285939126246793,-0.0697328284006456,-5.710893421492099e-05
0.0494271726026871,4.592403988572638,4.467398268265264,0.8995754981803211,0.0001464824741272,-0.0212165603646072,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,2.992475369289195,0.0212165603646072,0.5777520631050801,-0.1004287182536288,0.0005753905609012,-9.738219948445434e-06,1.795721996379441,0.2905640786173677,-0.0839628931190666,-6.98066020979899e-05
0.0576949770984434,5.360586677237812,5.141607119405126,0.8547559641142725,0.0001643197795064,-0.0327560398743182,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,3.770824310311623,0.0327560398743182,0.6820891156793848,-0.1452495618334404,0.0007185592926647,-1.383711472019145e-05,2.242834732932663,0.2891596988459421,-0.0980966041933911,-8.514958614719494e-05
0.0665979605689843,6.187785455710644,5.826766319802442,0.8011209128214821,0.0001798963624122,-0.0481067265033538,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,4.560388500090993,0.0481067265033538,0.7863011587536615,-0.198886115319696,0.0008617575958089,-1.87368475680887e-05,2.697398192674004,0.284955735476242,-0.1116762524960263,-0.0001037946995521
0.0761301217856463,7.073442734612656,6.509610300459609,0.7406032746140386,0.0001920933826328,-0.067691756714017,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,5.312696481256239,0.067691756714017,0.8891416276082428,-0.2594054613599082,0.0009958458866785,-2.414782105287812e-05,3.13476493278925,0.2816615082480754,-0.1242544624840878,-0.0001272366497875
0.0862850354103043,8.016961519479471,7.177729840701838,0.675807660117797,0.0002000126923134,-0.0918025404878852,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,5.986078943385003,0.0918025404878852,0.9898209464186972,-0.3242030099323246,0.00111102182419,-2.964492337424125e-05,3.533851215145793,0.2827162188720491,-0.1353970100192031,-0.0001587688577611
0.0970558563264954,9.017705813176516,7.820579703977931,0.609548796745304,0.0002031340380817,-0.1205808978388677,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,6.551347633405676,0.1205808978388677,1.087738597106308,-0.3904640425732555,0.0011967877885637,-3.482010587020823e-05,3.879833564175426,0.2906544168858673,-0.1447068774515321,-0.0002041626857594
0.108435324253503,10.0750010446052,8.430117404555084,0.5444227065562594,0.0002013124686051,-0.1540075301844473,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,6.993612918633828,0.1540075301844473,1.182276803682305,-0.4555925025276198,0.0012429403620084,-3.943455011778114e-05,4.164948626250291,0.3067440666219569,-0.1518668836868299,-0.0002709025232218
0.1204157686402891,11.18813452341071,9.001011917378431,0.482510396993871,0.0001945862464305,-0.1918975999012917,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,7.310849205816922,0.1918975999012917,1.272712000323752,-0.517507256011927,0.0012418535011859,-4.351340807255954e-05,4.387729403020983,0.3309485690145035,-0.1566865254535673,-0.0003652159040718
0.1329891138359783,12.35635592038466,9.530479710722012,0.4252477569050086,0.0001828435719603,-0.2339059849045933,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,7.510645606733584,0.2339059849045933,1.358238872922323,-0.5747721903418799,0.0011907145634187,-4.737925317369571e-05,4.55139523228025,0.3621566047014759,-0.1591351941577821,-0.0004883497781873
0.146146884533407,13.57887777323914,10.01787459684622,0.3734387656471032,0.0001654562158648,-0.2795442389229641,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,7.60654721957747,0.2795442389229641,1.438060590314188,-0.6265831197370698,0.0010927983473468,-5.158798251365657e-05,4.662076024407312,0.3985587930952086,-0.1593493544838333,-0.0006349635322531
0.159880211482068,14.85487601741089,10.46417020439837,0.3273598252388745,0.00014103806428,-0.3282088327863716,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,7.614897283954989,0.3282088327863716,1.511490427043875,-0.6726636379744939,0.0009580398732151,-5.675435805170859e-05,4.727298271892618,0.438044436735921,-0.1576112436051422,-0.0007941787295447
0.1741798374666018,16.18349054153805,10.87144605285778,0.286900988083756,0.0001074914312707,-0.3792175947322854,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,7.552544693186893,0.3792175947322854,1.578028232804289,-0.713123892433684,0.0008024033182142,-6.330210287870406e-05,4.754895260361733,0.4785289188344067,-0.154305719557871,-0.0009514006238508
0.189036123546801,17.56382576723481,11.24244484798768,0.2517043337165532,6.247818118626263e-05,-0.4318497071100613,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,7.435404488557755,0.4318497071100613,1.637399371375091,-0.7483219151781155,0.0006444089847696,-7.11255404600954e-05,4.752326783521454,0.5181721785776703,-0.1498667910693322,-0.001090448619747
