version,mse_total,rmse_total,r2_total,mse_U,mse_dUdy,mse_P,mse_k,mse_uu,mse_vv,mse_ww,mse_uv,r2_U,r2_dUdy,r2_P,r2_k,r2_uu,r2_vv,r2_ww,r2_uv,rmse_U,rmse_dUdy,rmse_P,rmse_k,rmse_uu,rmse_vv,rmse_ww,rmse_uv
Cycle 1,0.00010670938354451209,0.010097780264914036,0.9999975562095642,0.00032389379339292645,1.3435546861728653e-05,3.628021659096703e-05,8.419965161010623e-05,0.00025360449217259884,3.06322326650843e-05,6.9711561081931e-05,4.1917544876923785e-05,0.9999921917915344,0.9998158812522888,0.9997373819351196,0.9999537467956543,0.9999266862869263,0.9997828602790833,0.9998296499252319,0.9995145201683044,0.016821790486574173,0.0035753187257796526,0.005389852449297905,0.008883704431355,0.01535995677113533,0.004732049070298672,0.008038160391151905,0.006358802318572998
Cycle 2,5.4753712902311236e-05,0.006761413533240557,0.9999987483024597,0.00016464068903587759,4.196516783849802e-06,2.7448356831882847e-06,5.669029997079633e-05,0.00019283236179035157,3.885976184392348e-06,8.719315701455344e-06,4.319691015552962e-06,0.9999960660934448,0.9999423623085022,0.9999778270721436,0.999969482421875,0.9999449849128723,0.999968409538269,0.9999788403511047,0.9999503493309021,0.011834821663796902,0.001969618024304509,0.0016376060666516423,0.006569101475179195,0.012243400327861309,0.0019346250919625163,0.0028676940128207207,0.001978680957108736
Cycle 3,3.483980253804475e-05,0.005600756034255028,0.9999992847442627,0.00012698066711891443,1.811259380701813e-06,4.232099399814615e-06,3.002349149028305e-05,9.420118294656277e-05,6.693242085020756e-06,1.0547870260779746e-05,4.228615125612123e-06,0.9999971389770508,0.9999753832817078,0.9999662637710571,0.9999827742576599,0.9999712705612183,0.9999464154243469,0.9999734163284302,0.9999507069587708,0.01059415377676487,0.0012740486999973655,0.0020314387511461973,0.005028885789215565,0.008984177373349667,0.0025296288076788187,0.003138441825285554,0.002007066272199154
Cycle 4,7.114098116289824e-05,0.007454247213900089,0.9999983906745911,0.0002267781674163416,1.7245668004761683e-06,1.9807048374786973e-06,7.789312803652138e-05,0.0002368940768064931,7.547641416749684e-06,1.1988894584646914e-05,4.320716470829211e-06,0.9999943375587463,0.9999738931655884,0.999984622001648,0.9999513626098633,0.9999200105667114,0.9999380707740784,0.9999710321426392,0.9999499917030334,0.013419431634247303,0.0012131729163229465,0.0013734661042690277,0.007131670601665974,0.013103232719004154,0.00266734859906137,0.0031873956322669983,0.0020452411845326424
