nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure,      x-velocity,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,          y-plus,  dx-velocity-dy
        28, 0.000000000E+00,-9.750713706E-01, 0.000000000E+00, 1.363418847E-01, 5.241181850E-01, 7.314622402E-03, 1.654731575E-03, 4.307644442E-03,-1.722102286E-03, 0.000000000E+00, 5.105314255E+00
        29, 0.000000000E+00,-9.737545848E-01, 0.000000000E+00, 1.398016065E-01, 5.306812525E-01, 7.307316177E-03, 1.655819244E-03, 4.303448834E-03,-1.721585053E-03, 0.000000000E+00, 4.862986565E+00
        30, 0.000000000E+00,-9.724377990E-01,-6.938893904E-18, 1.431411356E-01, 5.369399786E-01, 7.299095392E-03, 1.656844281E-03, 4.298614338E-03,-1.720902626E-03, 0.000000000E+00, 4.643148422E+00
        31, 0.000000000E+00,-9.711210728E-01,-3.469446952E-18, 1.463696957E-01, 5.429221392E-01, 7.290092763E-03, 1.657816349E-03, 4.293233156E-03,-1.720075845E-03, 0.000000000E+00, 4.442757130E+00
        32, 0.000000000E+00,-9.698042870E-01, 0.000000000E+00, 1.494954675E-01, 5.486515164E-01, 7.280429360E-03, 1.658722758E-03, 4.287391901E-03,-1.719124266E-03, 0.000000000E+00, 4.259324074E+00
        33, 0.000000000E+00,-9.684875011E-01, 0.000000000E+00, 1.525256783E-01, 5.541490316E-01, 7.270202041E-03, 1.659556176E-03, 4.281161353E-03,-1.718063373E-03, 0.000000000E+00, 4.090676308E+00
        34, 0.000000000E+00,-9.671707153E-01, 0.000000000E+00, 1.554667801E-01, 5.594331622E-01, 7.259494625E-03, 1.660312293E-03, 4.274601117E-03,-1.716905972E-03, 0.000000000E+00, 3.935183525E+00
        35, 0.000000000E+00,-9.658539295E-01, 0.000000000E+00, 1.583246291E-01, 5.645201206E-01, 7.248376496E-03, 1.660989132E-03, 4.267760552E-03,-1.715662307E-03, 0.000000000E+00, 3.791212082E+00
        36, 0.000000000E+00,-9.645372033E-01, 0.000000000E+00, 1.611043811E-01, 5.694243312E-01, 7.236904930E-03, 1.661586342E-03, 4.260681570E-03,-1.714341575E-03, 0.000000000E+00, 3.657535076E+00
        37, 0.000000000E+00,-9.632204175E-01, 0.000000000E+00, 1.638106853E-01, 5.741586685E-01, 7.225128356E-03, 1.662104158E-03, 4.253396764E-03,-1.712951576E-03, 0.000000000E+00, 3.533220053E+00
        38, 0.000000000E+00,-9.619036317E-01, 0.000000000E+00, 1.664479375E-01, 5.787346959E-01, 7.213088684E-03, 1.662544091E-03, 4.245935474E-03,-1.711498131E-03, 0.000000000E+00, 3.417210340E+00
        39, 0.000000000E+00,-9.605868459E-01, 0.000000000E+00, 1.690199673E-01, 5.831629038E-01, 7.200823165E-03, 1.662908588E-03, 4.238323774E-03,-1.709987409E-03, 0.000000000E+00, 3.308626890E+00
        40, 0.000000000E+00,-9.592700601E-01, 0.000000000E+00, 1.715303063E-01, 5.874525309E-01, 7.188364398E-03, 1.663200208E-03, 4.230584949E-03,-1.708425116E-03, 0.000000000E+00, 3.206786633E+00
        41, 0.000000000E+00,-9.579533339E-01, 0.000000000E+00, 1.739822626E-01, 5.916123390E-01, 7.175738923E-03, 1.663421514E-03, 4.222736228E-03,-1.706815558E-03, 0.000000000E+00, 3.111285686E+00
        42, 0.000000000E+00,-9.566365480E-01, 0.000000000E+00, 1.763789058E-01, 5.956500769E-01, 7.162972353E-03, 1.663575182E-03, 4.214795306E-03,-1.705163042E-03, 0.000000000E+00, 3.021419048E+00
        43, 0.000000000E+00,-9.553197622E-01, 0.000000000E+00, 1.787229180E-01, 5.995726585E-01, 7.150084712E-03, 1.663664123E-03, 4.206775688E-03,-1.703470945E-03, 0.000000000E+00, 2.936564922E+00
        44, 2.168404345E-19,-9.540029764E-01, 0.000000000E+00, 1.810168326E-01, 6.033866405E-01, 7.137092762E-03, 1.663690666E-03, 4.198689479E-03,-1.701742527E-03, 0.000000000E+00, 2.856466532E+00
        45, 0.000000000E+00,-9.526861906E-01, 0.000000000E+00, 1.832631081E-01, 6.070981026E-01, 7.124012336E-03, 1.663657487E-03, 4.190546460E-03,-1.699980465E-03, 0.000000000E+00, 2.780753613E+00
        46, 0.000000000E+00,-9.513694048E-01, 3.469446952E-18, 1.854639649E-01, 6.107125282E-01, 7.110857405E-03, 1.663567265E-03, 4.182356410E-03,-1.698187785E-03, 0.000000000E+00, 2.708984613E+00
        47, 0.000000000E+00,-9.500526786E-01, 0.000000000E+00, 1.876213700E-01, 6.142349243E-01, 7.097640075E-03, 1.663422212E-03, 4.174127709E-03,-1.696366584E-03, 0.000000000E+00, 2.640908241E+00
        48, 1.734723476E-18,-9.487358928E-01, 0.000000000E+00, 1.897372305E-01, 6.176698208E-01, 7.084371522E-03, 1.663225237E-03, 4.165867344E-03,-1.694518840E-03, 0.000000000E+00, 2.576279163E+00
        49, 0.000000000E+00,-9.474191070E-01, 0.000000000E+00, 1.918133795E-01, 6.210216880E-01, 7.071060129E-03, 1.662978437E-03, 4.157581367E-03,-1.692646649E-03, 0.000000000E+00, 2.514835358E+00
        50, 0.000000000E+00,-9.461023211E-01, 0.000000000E+00, 1.938515157E-01, 6.242946386E-01, 7.057713345E-03, 1.662683790E-03, 4.149275832E-03,-1.690751291E-03, 0.000000000E+00, 2.456291437E+00
        51, 0.000000000E+00,-9.447855353E-01, 0.000000000E+00, 1.958531737E-01, 6.274921894E-01, 7.044341415E-03, 1.662343973E-03, 4.140956327E-03,-1.688834978E-03, 0.000000000E+00, 2.400398731E+00
